source_file,task,task_type,split_strategy,screening_mode,row_policy,feature_scope,use_BDE,descriptor_mode,use_V7_formula_features,configured_current_view,configured_current_k,outer_splits_requested,outer_splits_completed,inner_splits,selection_scope,selection_rule,formal_row_policy,n_valid_formal_rows,n_neat_rows,n_modified_rows,neat_fr_feature_masking,matching_baseline_leakage_guard,outer_R2_mean,outer_R2_std,outer_RMSE_mean,outer_RMSE_std,outer_MAE_mean,outer_MAE_std,outer_modified_R2_mean,outer_modified_R2_std,outer_modified_RMSE_mean,outer_modified_RMSE_std,outer_modified_MAE_mean,outer_modified_MAE_std,outer_PICP_mean,outer_PICP_std,outer_MPIW_mean,outer_MPIW_std,outer_modified_PICP_mean,outer_modified_PICP_std,outer_modified_MPIW_mean,outer_modified_MPIW_std,selected_view_frequency,selected_model_frequency,selected_k_frequency,outer_Accuracy_mean,outer_Accuracy_std,outer_Balanced_Accuracy_mean,outer_Balanced_Accuracy_std,outer_Macro_F1_mean,outer_Macro_F1_std,outer_Weighted_F1_mean,outer_Weighted_F1_std,outer_Brier_mean,outer_Brier_std,outer_ECE_mean,outer_ECE_std,outer_TN_mean,outer_TN_std,outer_FP_mean,outer_FP_std,outer_FN_mean,outer_FN_std,outer_TP_mean,outer_TP_std,outer_ROC_AUC_mean,outer_ROC_AUC_std,outer_PR_AUC_mean,outer_PR_AUC_std,outer_modified_Accuracy_mean,outer_modified_Accuracy_std,outer_modified_Balanced_Accuracy_mean,outer_modified_Balanced_Accuracy_std,outer_modified_Macro_F1_mean,outer_modified_Macro_F1_std,outer_modified_Weighted_F1_mean,outer_modified_Weighted_F1_std,outer_modified_Brier_mean,outer_modified_Brier_std,outer_modified_ECE_mean,outer_modified_ECE_std,outer_modified_TN_mean,outer_modified_TN_std,outer_modified_FP_mean,outer_modified_FP_std,outer_modified_FN_mean,outer_modified_FN_std,outer_modified_TP_mean,outer_modified_TP_std,outer_modified_ROC_AUC_mean,outer_modified_ROC_AUC_std,outer_modified_PR_AUC_mean,outer_modified_PR_AUC_std
results\scientific_validation\FINAL_grouping_sensitivity_5x5\LOI\scaffold\formulation\without_BDE\LOI_nested_summary.csv,LOI,regression,scaffold,formulation,baseline_inclusive,all,0,basic,1,compact,260.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.7077193436133072,0.040549776527479,2.6453401277543507,0.2311862398084076,2.0446941606607174,0.1824349487003367,0.408396859462236,0.1466153067442543,2.8145126832870133,0.294069133938467,2.190066269046805,0.2455450161115004,0.9832913165266106,0.0132096664723755,13.847972022446625,1.546056147396281,0.9787619645185895,0.0166193877598561,13.847972022446625,1.5460561473962833,"[[""compact"", 5]]","[[""XGB"", 2], [""GBDT"", 2], [""ExtraTrees"", 1]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\LOI\molecule\formulation\with_BDE\LOI_nested_summary.csv,LOI,regression,molecule,formulation,baseline_inclusive,all,1,basic,1,compact,260.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,599,131,468,True,True,0.7135369666498831,0.0472467902315865,2.607358524123154,0.4964764334100326,2.005445946873375,0.4249245718957057,0.4383482175479589,0.0797420489013408,2.758129720254316,0.5834896531954015,2.140475111155494,0.5180324785988909,0.9565966386554624,0.0284996971252634,13.037018880166013,2.365719037906364,0.9465539307072252,0.0380820922234648,13.037018880166013,2.365719037906364,"[[""compact"", 5]]","[[""GBDT"", 3], [""ExtraTrees"", 2]]","[[""260"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\PHRR\molecule\formulation\without_BDE\PHRR_nested_summary.csv,PHRR,regression,molecule,formulation,baseline_inclusive,all,0,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.6035813055527178,0.0416476684742232,216.783221117366,40.06409578204795,161.5685669169914,23.951500044359356,0.623116005603471,0.0867933900475518,186.2505485985748,44.39722633860735,142.47072680002367,29.39920443956772,0.945679012345679,0.0743820757105781,1085.688280474107,398.3727339824984,0.951234017246506,0.0818351878288234,1085.6882804741072,398.3727339824985,"[[""compact"", 5]]","[[""GBDT"", 3], [""SoftVote"", 1], [""LGBM"", 1]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\conditions_only\PHRR\molecule\formulation\conditions_only\without_BDE\PHRR_nested_summary.csv,PHRR,regression,molecule,formulation,baseline_inclusive,conditions_only,0,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.576077398644001,0.0342048044698828,223.89274520087287,37.36125100800181,169.06189773221274,20.573286023374106,0.5840483767574595,0.0802602675828287,195.3808392882985,40.1298453571845,151.35463040293234,25.194227388391955,0.9432098765432098,0.0673942916738576,1053.7442001968734,431.4534208312606,0.9581326196848052,0.0760976487057002,1053.7442001968734,431.4534208312605,"[[""compact"", 5]]","[[""GBDT"", 3], [""SoftVote"", 1], [""ExtraTrees"", 1]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\molecular_only\PHRR\molecule\formulation\molecular_only\without_BDE\PHRR_nested_summary.csv,PHRR,regression,molecule,formulation,baseline_inclusive,molecular_only,0,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.2492029552835418,0.1229365492684353,296.6302935493679,45.52370470539287,233.31075284736716,22.420593180637937,-0.0266834399814463,0.1368025382772124,306.85286457296513,48.36430607098644,242.07171130323675,26.77130742852541,0.9703703703703702,0.0415005834912879,1521.3730422945976,656.6927940638293,0.9622360987213796,0.0544757877561895,1521.3730422945978,656.6927940638293,"[[""compact"", 5]]","[[""GBDT"", 4], [""RF"", 1]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\reference\formulation\without_BDE\PHRR_nested_summary.csv,PHRR,regression,reference,formulation,baseline_inclusive,all,0,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.5764437023687485,0.0520926123584125,226.15187812883036,23.6549736698229,167.4043417980086,6.537729435351338,0.5557431707031328,0.1592891315522738,200.0509259197576,20.58009627274192,149.15467508588569,7.355469880191093,0.977838000602228,0.0252941239672705,1248.572576917882,378.63946712143854,0.9829885057471264,0.0241844106411653,1248.5725769178823,378.63946712143866,"[[""compact"", 5]]","[[""GBDT"", 4], [""RF"", 1]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_grouping_sensitivity_5x5\PHRR\scaffold\formulation\without_BDE\PHRR_nested_summary.csv,PHRR,regression,scaffold,formulation,baseline_inclusive,all,0,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.6230411188719417,0.1114360649781119,211.00131031808093,46.379570089163096,160.89975907484978,30.810925693490248,0.595838333691938,0.2019862541776958,185.65724742755407,36.393755694227046,143.19366880186564,27.063060384764853,0.9558265582655826,0.0436591595147859,1003.435593856665,204.23185763440185,0.9720279146141214,0.0369733932814196,1003.4355938566652,204.23185763440188,"[[""compact"", 5]]","[[""GBDT"", 2], [""SoftVote"", 2], [""ExtraTrees"", 1]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\PHRR\molecule\formulation\with_BDE\PHRR_nested_summary.csv,PHRR,regression,molecule,formulation,baseline_inclusive,all,1,basic,0,compact,330.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,406,114,292,True,True,0.607523208950299,0.0465694452757703,215.73498759183173,40.98532128746066,160.58876641270112,24.885988303587023,0.6286781056152705,0.0818022584113001,185.35151198514384,44.95808933814065,141.55446379021276,30.514293492166,0.9382716049382716,0.0907218423253028,1055.807483937277,406.66829437492464,0.944216473386857,0.0973310903271908,1055.807483937277,406.66829437492447,"[[""compact"", 5]]","[[""GBDT"", 3], [""SoftVote"", 2]]","[[""330"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_core_fixed_baseline_inclusive_5x5\THR\molecule\formulation\without_BDE\THR_nested_summary.csv,THR,regression,molecule,formulation,baseline_inclusive,all,0,advanced,1,descriptors,30.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,397,111,286,True,True,0.4832714736882237,0.1328522802485887,18.165469441482163,4.568737300890846,12.431027907598176,2.4981657453714705,0.6025298601188822,0.1935556851488982,12.648550394966673,3.976659304936233,8.969651557267488,2.136112398743097,0.9595886075949366,0.0394320178662914,95.63452498505578,35.87187583308479,0.975306911346162,0.0298819322394491,95.63452498505578,35.8718758330848,"[[""descriptors"", 5]]","[[""GBDT"", 3], [""ExtraTrees"", 1], [""LGBM"", 1]]","[[""30"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\conditions_only\THR\molecule\formulation\conditions_only\without_BDE\THR_nested_summary.csv,THR,regression,molecule,formulation,baseline_inclusive,conditions_only,0,advanced,1,descriptors,30.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,397,111,286,True,True,0.4848893273962045,0.1274119362765933,18.14022643777557,4.501753559904024,12.235682268331573,2.503081297131461,0.6048477528612556,0.1781070460852236,12.627864934905466,3.7598462272823454,8.734228098944788,2.030814437529441,0.9595886075949366,0.0274541503553706,94.76832390928544,37.67599880512229,0.9788783399175908,0.0148508160497572,94.76832390928544,37.67599880512232,"[[""descriptors"", 5]]","[[""GBDT"", 2], [""SoftVote"", 1], [""ExtraTrees"", 1], [""LGBM"", 1]]","[[""30"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_information_source_ablation_5x5\molecular_only\THR\molecule\formulation\molecular_only\without_BDE\THR_nested_summary.csv,THR,regression,molecule,formulation,baseline_inclusive,molecular_only,0,advanced,1,descriptors,30.0,5,5,5,fixed,feature view and K predefined before FINAL evaluation from development-stage sensitivity analyses; only the predictive model is selected using grouped inner CV within each outer-training set; UL94 threshold is estimated using outer-training data only; outer fold used once for evaluation,Baseline-inclusive absolute-property evaluation: valid Loading_total_FR >= 0; neat-EP FR-derived features masked; task-matching EP_matrix feature masked on neat-EP rows; overall and modified-test-subset metrics reported,397,111,286,True,True,0.1697453611688406,0.1022216139959897,22.86342910213107,3.27876641628016,16.39293455827354,2.288354468802649,0.0242718661497041,0.1714758108983276,19.82372153341001,2.355016324959664,14.423027312389427,2.2494230499337418,0.9648417721518988,0.0479574486426003,115.11376843454032,38.090219776220046,0.9691283292978208,0.051445662518062,115.11376843454036,38.09021977622007,"[[""descriptors"", 5]]","[[""SVR"", 3], [""GBDT"", 1], [""SoftVote"", 1]]","[[""30"", 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
