task,feature,feature_group,stability_level,parent_variable,parent_variable_cn,parent_feature_group,mapping_type,transform_tags,mechanism_key,mapping_note
THR,EP_matrix_THR_sq,ep_baseline,Medium,EP matrix THR,未改性EP的THR基线,ep_baseline,base_or_transform,square,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
THR,EP_matrix_THR_sqrt,ep_baseline,Medium,EP matrix THR,未改性EP的THR基线,ep_baseline,base_or_transform,sqrt,ep_baseline,Base and mathematical transforms merged; baseline effect is not a flame-retardant molecular mechanism.
THR,P_x_CuringAgent_Has_S,molecular_descriptor,Medium,P content × curing-agent S presence,磷含量×固化剂含S,molecular_interaction,interaction,none,p_curing_element,Interaction feature coupling phosphorus with the elemental character of the curing agent.
THR,Main_FR_fraction,formulation_loading,Medium,Main FR fraction,主阻燃剂质量分数,formulation_loading,base_or_transform,none,main_fraction,Base and mathematical transforms merged into one parent variable.
THR,P_x_curing_LogP,molecular_descriptor,High,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
THR,P_x_curing_TPSA,molecular_descriptor,Medium,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,interaction,none,p_curing_tpsa,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
THR,P_x_curing_HBA,molecular_descriptor,Medium,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,interaction,none,p_curing_hba,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
THR,P_loading_real_sqrt,formulation_loading,Medium,FR loading × P-content interaction,阻燃剂添加量×磷含量交互,formulation_interaction,base_or_transform,sqrt,loading_x_p_content,Base and mathematical transforms merged into one parent variable.
THR,N_loading_real_sqrt,formulation_loading,High,FR loading × N-content interaction,阻燃剂添加量×氮含量交互,formulation_interaction,base_or_transform,sqrt,loading_x_n_content,Base and mathematical transforms merged into one parent variable.
THR,Loading_total_FR wt%,formulation_loading,High,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,none,fr_loading,Base and mathematical transforms merged into one parent variable.
THR,P_x_curing_MolWt,molecular_descriptor,Medium,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,interaction,none,p_curing_molwt,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
THR,Loading_total_FR_sqrt,formulation_loading,High,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,sqrt,fr_loading,Base and mathematical transforms merged into one parent variable.
THR,P_x_curing_HeavyAtomCount,molecular_descriptor,High,P content × curing-agent HeavyAtomCount,磷含量×固化剂重原子数,molecular_interaction,interaction,none,p_curing_heavyatomcount,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
THR,P_x_CuringAgent_Has_N,molecular_descriptor,Medium,P content × curing-agent N presence,磷含量×固化剂含N,molecular_interaction,interaction,none,p_curing_element,Interaction feature coupling phosphorus with the elemental character of the curing agent.
THR,N_content_wt%_sqrt,elemental_composition,Medium,N content,氮含量,elemental_composition,base_or_transform,sqrt,n_content,Base and mathematical transforms merged into one parent variable.
THR,N/P ratio,elemental_composition,High,N/P ratio,N/P ratio,elemental_composition,direct,none,other,Direct mapping; review manually if used in the manuscript.
UL94_V0,P_x_CuringAgent_Has_N,molecular_descriptor,High,P content × curing-agent N presence,磷含量×固化剂含N,molecular_interaction,interaction,none,p_curing_element,Interaction feature coupling phosphorus with the elemental character of the curing agent.
UL94_V0,P_loading_x_Synergy,formulation_loading,High,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,interaction,none,p_loading_synergy,"Legacy-named interaction between total FR loading, formulation-level P content, and synergistic status."
UL94_V0,P_x_curing_LogP,molecular_descriptor,High,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,interaction,none,p_curing_logp,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,P_x_curing_AromaticRings,molecular_descriptor,High,P content × curing-agent AromaticRings,磷含量×固化剂芳香环数,molecular_interaction,interaction,none,p_curing_aromaticrings,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,P_x_curing_HBD,molecular_descriptor,High,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,interaction,none,p_curing_hbd,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,main_morgan_r3_128,molecular_fingerprint,Medium,Main FR MORGAN_R3 bit 128,主阻燃剂MORGAN_R3指纹位128,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.
UL94_V0,Loading_total_FR_sqrt,formulation_loading,High,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,sqrt,fr_loading,Base and mathematical transforms merged into one parent variable.
UL94_V0,Loading_x_Synergy,formulation_loading,High,Total FR loading × synergy,总阻燃剂添加量×协同状态,formulation_interaction,interaction,none,loading_synergy,Interaction between total loading and synergistic formulation status.
UL94_V0,P_content_sqrt,elemental_composition,High,P content,磷含量,elemental_composition,base_or_transform,sqrt,p_content,Base and mathematical transforms merged into one parent variable.
UL94_V0,main_morgan_r3_21,molecular_fingerprint,High,Main FR MORGAN_R3 bit 21,主阻燃剂MORGAN_R3指纹位21,molecular_fingerprint,fingerprint_bit,none,fingerprint,Fingerprint bit retained separately; map the bit back to a chemical substructure before mechanistic interpretation.
UL94_V0,P_loading_real_sqrt,formulation_loading,High,FR loading × P-content interaction,阻燃剂添加量×磷含量交互,formulation_interaction,base_or_transform,sqrt,loading_x_p_content,Base and mathematical transforms merged into one parent variable.
UL94_V0,P_x_curing_RingCount,molecular_descriptor,High,P content × curing-agent RingCount,磷含量×固化剂总环数,molecular_interaction,interaction,none,p_curing_ringcount,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,P_x_curing_HeavyAtomCount,molecular_descriptor,High,P content × curing-agent HeavyAtomCount,磷含量×固化剂重原子数,molecular_interaction,interaction,none,p_curing_heavyatomcount,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,Loading_total_FR wt%,formulation_loading,Medium,Total FR loading,总阻燃剂添加量,formulation_loading,base_or_transform,none,fr_loading,Base and mathematical transforms merged into one parent variable.
UL94_V0,P_x_curing_MolWt,molecular_descriptor,High,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,interaction,none,p_curing_molwt,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,P_x_curing_RotBonds,molecular_descriptor,Medium,P content × curing-agent RotBonds,磷含量×固化剂可旋转键数,molecular_interaction,interaction,none,p_curing_rotbonds,Interaction feature coupling phosphorus loading/composition with curing-agent structure.
UL94_V0,P_content wt%,elemental_composition,Medium,P content,磷含量,elemental_composition,base_or_transform,none,p_content,Base and mathematical transforms merged into one parent variable.
UL94_V0,Has_P,elemental_composition,Medium,Presence of P,是否含P,elemental_composition,binary_flag,none,element_presence,Binary presence flag; interpret together with actual elemental loading.
