task,parent_rank_conservative,parent_variable,parent_variable_cn,parent_feature_group,parent_stability_level,average_output_direction_cn,performance_direction_cn,physical_meaning_cn,mechanism_interpretation_cn,writing_caution_cn,literature_support_needed_cn,child_features
PHRR,17,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_MolWt
THR,1,EP matrix THR,未改性EP的THR基线,ep_baseline,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征未改性环氧基体在相同指标上的初始水平与跨文献基体差异。,基线性能可决定阻燃改性后的绝对性能起点，因此模型可能首先利用基体初始差异，再学习阻燃剂带来的增量。该变量不是阻燃剂分子本身的机理证据。,应避免将其解释为DOPO结构效应；建议同时报告Delta任务或进行基线控制分析。,补充环氧基体组成、固化体系和初始燃烧性能对改性结果影响的文献。,EP_matrix_THR; EP_matrix_THR_sq; EP_matrix_THR_sqrt
THR,2,Synergy × EP matrix THR,协同状态×未改性EP的THR,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Synergy_x_EP_matrix_THR
THR,3,P content × curing-agent S presence,磷含量×固化剂含S,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_CuringAgent_Has_S
THR,4,Main FR fraction,主阻燃剂质量分数,formulation_loading,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃剂总剂量或主/协同组分在配方中的比例。,剂量影响有效阻燃元素浓度、气相抑制、凝聚相成炭及分散状态；过高添加量也可能引起团聚、交联密度下降或力学损失，因此通常具有非线性和最优区间。,平均SHAP方向不能证明单调剂量效应，需结合依赖图和相同体系内的配方梯度。,补充DOPO添加量、协同配比与LOI/PHRR/THR/UL-94变化的剂量效应文献。,Main_FR_fraction
THR,5,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,High,降低THR预测值,总体方向与目标优化方向一致,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_LogP
THR,6,P content × curing-agent TPSA,磷含量×固化剂拓扑极性表面积,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_TPSA
THR,7,P content × curing-agent HBA,磷含量×固化剂氢键受体数,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_HBA
THR,8,FR loading × P-content interaction,阻燃剂添加量×磷含量交互,formulation_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征父变量“阻燃剂添加量×磷含量交互”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,P_loading_real_sqrt
THR,9,FR loading × N-content interaction,阻燃剂添加量×氮含量交互,formulation_interaction,High,降低THR预测值,总体方向与目标优化方向一致,表征父变量“阻燃剂添加量×氮含量交互”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,N_loading_real_sqrt
THR,10,Total FR loading,总阻燃剂添加量,formulation_loading,High,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征阻燃剂总剂量或主/协同组分在配方中的比例。,剂量影响有效阻燃元素浓度、气相抑制、凝聚相成炭及分散状态；过高添加量也可能引起团聚、交联密度下降或力学损失，因此通常具有非线性和最优区间。,平均SHAP方向不能证明单调剂量效应，需结合依赖图和相同体系内的配方梯度。,补充DOPO添加量、协同配比与LOI/PHRR/THR/UL-94变化的剂量效应文献。,Loading_total_FR wt%; Loading_total_FR_sqrt
THR,11,P content × curing-agent MolWt,磷含量×固化剂分子量,molecular_interaction,Medium,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_MolWt
THR,12,P content × curing-agent HeavyAtomCount,磷含量×固化剂重原子数,molecular_interaction,High,降低THR预测值,总体方向与目标优化方向一致,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_HeavyAtomCount
THR,13,P content × curing-agent N presence,磷含量×固化剂含N,molecular_interaction,Medium,降低THR预测值,总体方向与目标优化方向一致,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_CuringAgent_Has_N
THR,14,N content,氮含量,elemental_composition,Medium,提高THR预测值,总体方向与目标优化方向相反,表征体系中的氮元素组成或有效氮负载。,氮结构可能促进不可燃气体释放、膨胀成炭或与磷形成协同，但其效果受含氮基团、分解时序和炭层稳定性控制。,N含量增加并不等于稳定P–N协同，某些气体释放过程可能扰动炭层。,补充P–N协同、含氮固化剂及膨胀成炭机理文献。,N_content_wt%_sqrt
THR,15,N/P ratio,N/P ratio,elemental_composition,High,提高THR预测值,总体方向与目标优化方向相反,表征父变量“N/P ratio”对应的配方、结构或测试信息。,该变量在多折模型中具有稳定贡献，说明模型重复利用了该信息；具体材料机理需结合原始结构、依赖图和文献验证。,SHAP仅反映模型依赖关系，不证明因果或单调关系。,根据该变量对应的化学结构或实验条件补充直接文献证据。,N/P ratio
UL94_V0,1,P content × curing-agent N presence,磷含量×固化剂含N,molecular_interaction,High,降低V-0预测概率,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_CuringAgent_Has_N
UL94_V0,2,(FR loading × P content) × synergy,（阻燃剂添加量×磷含量）×协同状态,formulation_interaction,High,不同外层折或子特征的平均SHAP方向不完全一致,不能判断有利/不利；必须结合样本级SHAP依赖图,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,P_loading_x_Synergy
UL94_V0,3,P content × curing-agent LogP,磷含量×固化剂脂水分配/疏水性,molecular_interaction,High,降低V-0预测概率,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_LogP
UL94_V0,4,P content × curing-agent AromaticRings,磷含量×固化剂芳香环数,molecular_interaction,High,降低V-0预测概率,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_AromaticRings
UL94_V0,5,P content × curing-agent HBD,磷含量×固化剂氢键供体数,molecular_interaction,High,降低V-0预测概率,总体方向与目标优化方向相反,表征磷组成/负载与固化剂分子结构或元素特征的耦合。,固化剂的极性、反应位点、刚性和柔性会改变环氧网络结构，使相同磷负载在不同固化体系中表现出不同的燃烧与热性能。,这是统计交互项，不能直接等同于P与固化剂发生特定化学键合。,补充含磷阻燃剂—固化剂协同、交联密度和网络结构相关文献。,P_x_curing_HBD
UL94_V0,6,Main FR MORGAN_R3 bit 128,主阻燃剂MORGAN_R3指纹位128,molecular_fingerprint,Medium,降低V-0预测概率,总体方向与目标优化方向相反,表征分子中的局部原子环境或子结构片段。,稳定指纹位说明特定局部结构对模型预测有重复贡献，但只有映射回具体子结构后才能讨论DOPO核心、P–N/P–Si连接、芳香片段或反应性官能团。,未完成RDKit位映射前，不得把指纹编号直接写成化学机理。,先完成指纹位—子结构映射，再检索对应结构单元的阻燃或固化机理文献。,main_morgan_r3_128
UL94_V0,7,Total FR loading,总阻燃剂添加量,formulation_loading,High,降低V-0预测概率,总体方向与目标优化方向相反,表征阻燃剂总剂量或主/协同组分在配方中的比例。,剂量影响有效阻燃元素浓度、气相抑制、凝聚相成炭及分散状态；过高添加量也可能引起团聚、交联密度下降或力学损失，因此通常具有非线性和最优区间。,平均SHAP方向不能证明单调剂量效应，需结合依赖图和相同体系内的配方梯度。,补充DOPO添加量、协同配比与LOI/PHRR/THR/UL-94变化的剂量效应文献。,Loading_total_FR_sqrt; Loading_total_FR wt%
UL94_V0,8,Total FR loading × synergy,总阻燃剂添加量×协同状态,formulation_interaction,High,降低V-0预测概率,总体方向与目标优化方向相反,表征是否存在协同组分、协同类型及其与剂量或基体的交互。,协同体系可能通过多相阻燃路径、成炭增强、自由基抑制或屏蔽效应获得高于单一组分的性能，但也可能出现拮抗。,模型中的协同标记是配方类别信息，不能单独证明协同高于线性叠加。,补充协同定义、线性期望比较以及P–N/P–Si/P–B体系文献。,Loading_x_Synergy
UL94_V0,9,P content,磷含量,elemental_composition,High,降低V-0预测概率,总体方向与目标优化方向相反,表征体系中的磷元素组成或按添加量折算的有效磷负载。,磷可通过含磷自由基参与气相自由基抑制，并促进凝聚相脱水、交联和成炭；实际作用取决于P–C/P–N/P–O等化学环境、挥发路径和基体网络。,元素含量不能替代化学结构，且高磷负载不必然带来更优综合性能。,补充DOPO气相自由基抑制、凝聚相促炭及有效磷负载相关文献。,P_content_sqrt; P_content wt%
